cohort	imm_fufi_2f	imm_fufi_4f	imm_t1k_2f
APR	0.9652996845425867	0.7287066246056783	
CPC-Chinese	0.9188405797101449	0.6492753623188405	
HPRC-EastAsian	0.9904761904761905	0.7619047619047619	
HPRC-Japanese	1.0	0.84375	
HPRC-Jewish	1.0	1.0	
HPRC-Rest	0.9953703703703703	0.7842592592592592	0.9855072463768116
JaSaPaGe-Japanese	0.9833333333333333	0.8333333333333334	
JaSaPaGe-Saudi	0.9814814814814815	0.7407407407407407	
KPanRef-Korean	0.927710843373494	0.6867469879518072	
