clusters_requested	clusters_with_2plus	purity_DRB1_2field	purity_DRB345-DRB1-DQA1-DQB1
10	8	0.3580858085808581	0.27722772277227725
20	11	0.44240400667779634	0.35225375626043404
40	24	0.5016891891891891	0.4543918918918919
80	35	0.5399644760213144	0.5115452930728241
